Hello World from CPU!
Fibonacci de 47 = 2971215073
Fibonacci de 46 = 1836311903
Fibonacci de 45 = 1134903170
Fibonacci de 44 = 701408733
Fibonacci de 43 = 433494437
Fibonacci de 42 = 267914296
Fibonacci de 30 = 832040
Fibonacci de 29 = 514229
Fibonacci de 28 = 317811
Fibonacci de 27 = 196418
Fibonacci de 26 = 121393
Fibonacci de 25 = 75025
Fibonacci de 24 = 46368
Fibonacci de 23 = 28657
Fibonacci de 22 = 17711
Fibonacci de 21 = 10946
Fibonacci de 52 = 32951280099
Fibonacci de 51 = 20365011074
Fibonacci de 50 = 12586269025
Fibonacci de 49 = 7778742049
Fibonacci de 48 = 4807526976
Fibonacci de 47 = 2971215073
Fibonacci de 46 = 1836311903
Fibonacci de 45 = 1134903170
Fibonacci de 44 = 701408733
Fibonacci de 43 = 433494437
Fibonacci de 25 = 75025
Fibonacci de 24 = 46368
Fibonacci de 23 = 28657
Fibonacci de 22 = 17711
Fibonacci de 21 = 10946
Fibonacci de 20 = 6765
Fibonacci de 19 = 4181
Fibonacci de 18 = 2584
Fibonacci de 17 = 1597
Fibonacci de 16 = 987
Fibonacci de 17 = 1597
Fibonacci de 16 = 987
Fibonacci de 15 = 610
Fibonacci de 14 = 377
Fibonacci de 13 = 233
Fibonacci de 12 = 144
Fibonacci de 11 = 89
Fibonacci de 10 = 55
Fibonacci de 9 = 34
Fibonacci de 8 = 21
Fibonacci de 8 = 21
Fibonacci de 7 = 13
Fibonacci de 6 = 8
Fibonacci de 5 = 5
Fibonacci de 4 = 3
Fibonacci de 3 = 2
Fibonacci de 2 = 1
Fibonacci de 1 = 1
Fibonacci de 0 = 1
Fibonacci de 59 = 956722026041
Fibonacci de 49 = 7778742049
Fibonacci de 48 = 4807526976
Fibonacci de 47 = 2971215073
Fibonacci de 46 = 1836311903
Fibonacci de 45 = 1134903170
Fibonacci de 44 = 701408733
Fibonacci de 43 = 433494437
Fibonacci de 42 = 267914296
Fibonacci de 41 = 165580141
Fibonacci de 40 = 102334155
Fibonacci de 2 = 1
Fibonacci de 1 = 1
Fibonacci de 0 = 1
Fibonacci de 59 = 956722026041
Fibonacci de 58 = 591286729879
Fibonacci de 57 = 365435296162
Fibonacci de 56 = 225851433717
Fibonacci de 55 = 139583862445
Fibonacci de 54 = 86267571272
Fibonacci de 53 = 53316291173
Fibonacci de 4 = 3
Fibonacci de 3 = 2
Fibonacci de 2 = 1
Fibonacci de 1 = 1
Fibonacci de 0 = 1
Fibonacci de 59 = 956722026041
Fibonacci de 58 = 591286729879
Fibonacci de 57 = 365435296162
Fibonacci de 56 = 225851433717
